Model,Hedge_Threshold,Total_Return_Pct,Max_Drawdown_Pct,Drawdown_Reduction_Pct,Annualized_Vol_Pct,Sharpe_Ratio,Sortino_Ratio,Hedge_Days_Pct,Hedge_Flips,Friction_Cost_Pct,Funding_Cashflow_Pct
Unhedged_Buy_and_Hold,N/A,16.48,51.32,0.0,42.36,0.26,0.45,0.0,0,0.0,0.0
M0_Persistence,0.20,477.79,12.89,38.43,35.97,2.11,3.84,16.5,38,10.14,6.08
M1_Climatology,0.20,22.78,51.32,0.0,39.87,0.31,0.52,6.2,2,0.19,0.18
M2_SingleDomain,0.20,13.95,51.32,0.0,41.26,0.24,0.39,3.4,10,0.88,0.09
M3_ElasticNet,0.20,46.03,51.32,-0.0,39.67,0.49,0.8,8.2,12,1.4,1.15
M4_DynamicAR,0.20,353.29,21.68,29.65,37.07,1.78,3.2,12.4,28,5.59,3.58
M5_LightGBM,0.20,420.69,12.95,38.38,31.61,2.22,3.78,19.9,56,16.37,5.91
M6_StateSpace,0.20,53.1,51.32,-0.0,39.49,0.54,0.88,10.3,14,1.71,1.95
M7_Full4D,0.20,48.69,51.32,0.0,39.38,0.51,0.83,10.3,14,1.72,2.29
M5_LightGBM (Hysteresis 0.15-0.25),Hyst[0.15-0.25],362.98,12.95,38.38,31.93,2.04,3.41,20.6,46,12.58,5.65
